sid,Не подкрепям никого,БСП ЗА БЪЛГАРИЯ,ГЕРБ-СДС,ВЪЗРАЖДАНЕ,ПП ИМА ТАКЪВ НАРОД,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,"КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (АТАКА, РУСОФИЛИ, КОМУНИСТИ)",Българско Национално Обединение,ЗАЕДНО,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,НДСВ,КОД /Консервативно Обединение на Десницата/,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,Движение за права и свободи – ДПС,ЛЕВИЦАТА!,ПП БЪЛГАРСКИ ВЪЗХОД,МИР,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ – ЕВРОЛЕВИЦА,БСДД – Български Съюз за ДИРЕКТНА ДЕМОКРАЦИЯ,ПП Глас Народен,Социалистическа партия Български път,ВЪН от ЕС и НАТО,независими
234615110,12.0,25.0,60.0,48.0,17.0,1.0,3.0,0.0,4.0,1.0,1.0,0.0,179.0,4.0,18.0,12.0,0.0,0.0,0.0,2.0,0.0,3.0,
234615088,19.0,41.0,71.0,69.0,11.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,155.0,0.0,18.0,17.0,0.0,0.0,0.0,3.0,0.0,0.0,
234617067,8.0,14.0,92.0,36.0,6.0,0.0,2.0,0.0,1.0,0.0,0.0,5.0,187.0,11.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,
234615118,9.0,13.0,33.0,51.0,8.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,104.0,1.0,6.0,14.0,1.0,0.0,0.0,1.0,0.0,0.0,
234616016,20.0,26.0,57.0,39.0,19.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,118.0,2.0,15.0,14.0,0.0,0.0,1.0,0.0,0.0,2.0,
234617065,20.0,23.0,90.0,41.0,14.0,0.0,1.0,0.0,9.0,0.0,2.0,0.0,149.0,4.0,8.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,
234617010,33.0,27.0,128.0,68.0,6.0,3.0,1.0,0.0,3.0,0.0,1.0,0.0,153.0,4.0,11.0,4.0,0.0,0.0,1.0,2.0,0.0,1.0,
234617050,22.0,25.0,110.0,47.0,16.0,0.0,0.0,0.0,5.0,0.0,4.0,2.0,247.0,2.0,10.0,12.0,0.0,0.0,3.0,1.0,0.0,2.0,
234609047,10.0,31.0,39.0,36.0,3.0,0.0,2.0,1.0,3.0,0.0,1.0,3.0,116.0,2.0,14.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,
234610107,8.0,5.0,22.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,
234615127,1.0,15.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,
234610106,2.0,5.0,13.0,12.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,18.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,
234610015,3.0,7.0,34.0,11.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,89.0,2.0,8.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,
234608048,16.0,12.0,37.0,43.0,15.0,4.0,2.0,4.0,1.0,1.0,0.0,1.0,32.0,5.0,7.0,5.0,1.0,4.0,1.0,1.0,1.0,0.0,
234609036,20.0,14.0,58.0,36.0,11.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,164.0,2.0,10.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,
234609011,7.0,18.0,69.0,25.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,177.0,3.0,4.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,
234617066,6.0,16.0,44.0,38.0,13.0,1.0,1.0,1.0,4.0,0.0,0.0,1.0,73.0,6.0,8.0,3.0,0.0,0.0,1.0,5.0,0.0,1.0,
234617070,16.0,15.0,79.0,36.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,249.0,1.0,14.0,17.0,1.0,0.0,2.0,1.0,1.0,0.0,
234608012,15.0,40.0,61.0,41.0,5.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,116.0,0.0,11.0,9.0,0.0,1.0,1.0,4.0,1.0,1.0,
