,ACF HR LT
1253,291100013
1254,291100019
1255,291700014
1256,291700020
1257,291800006
1258,291800009
1259,292800028
1260,292800041
1261,292800043
1262,292900009
1263,293000008
1264,293000011
1265,293000014
1266,293300028
1267,293300041
1268,293400044
1269,293400062
1270,293400087
1271,293400088
1272,293400107
1273,293400119
1274,293400123
1275,293400124
1276,293400126
1277,293400128
1278,293400131
1279,293400134
1280,293400135
1281,293400140
1282,293400143
1283,300700003
1284,301000017
1285,301100001
1286,301100010
1287,301100012
1288,301100015
1289,301100019
1290,301100021
1291,301800022
1292,301900015
1293,302200002
1294,302200029
1295,302200031
1296,302300015
1297,302300016
1298,302500008
1299,302500011
1300,303000108
1301,303000120
1302,310700020
1303,312200007
1304,312500001
1305,312500015
1306,010300136
1307,011100019
1308,011100030
1309,011100038
1310,011100039
1311,012800010
1312,013300030
1313,013300031
1314,013300032
1315,013700016
1316,014000063
1317,014400023
1318,014900006
1319,014900014
1320,015200010
1321,020100031
1322,020100036
1323,020100046
1324,020100048
1325,020400081
1326,020400082
1327,020400090
1328,020400260
1329,020600040
1330,020900020
1331,020900025
1332,020900043
1333,020900046
1334,021500025
1335,021500028
1336,021700012
1337,021800015
1338,021800030
1339,022300008
1340,022300010
1341,022300026
1342,030400001
1343,030900021
1344,030900023
1345,031300005
1346,031300010
1347,031300026
1348,032400030
1349,040400002
1350,040600074
1351,041400004
1352,043100014
1353,050100008
1354,050900001
1355,050900073
1356,050900074
1357,050900075
1358,050900082
1359,050900085
1360,050900114
1361,051600022
1362,053700010
1363,060800029
1364,060800033
1365,060800034
1366,061000096
1367,061000104
1368,061000105
1369,062100016
1370,062800011
1371,063200008
1372,072900055
1373,080300023
1374,080300024
1375,080300034
1376,081200042
1377,081500002
1378,081500012
1379,081500024
1380,081500032
1381,081500040
1382,081500042
1383,081500055
1384,082700023
1385,082700027
1386,082800083
1387,082800104
1388,091400003
1389,091400008
1390,091400010
1391,091400012
1392,091400022
1393,091400074
1394,091500026
1395,091500034
1396,091500057
1397,091500058
1398,091500063
1399,091600089
1400,091600109
1401,091600119
1402,102700012
1403,102900109
1404,104800019
1405,111800103
1406,113300003
1407,113600004
1408,120200018
1409,120700004
1410,120700012
1411,121100007
1412,122400033
1413,122400043
1414,122900063
1415,122900075
1416,130800050
1417,130800052
1418,131900044
1419,131900053
1420,131900091
1421,131900152
1422,131900205
1423,132100002
1424,132900002
1425,132900023
1426,143200072
1427,143600051
1428,151600016
1429,152100010
1430,153700003
1431,153900013
1432,162202002
1433,162202005
1434,162202034
1435,162202041
1436,162202044
1437,170100055
1438,170700012
1439,171300072
1440,171700026
1441,171700038
1442,172300029
1443,172800014
1444,174100026
1445,174200012
1446,182600008
1447,182600011
1448,182600027
1449,183600004
1450,190400006
1451,190500002
1452,190800005
1453,192700185
1454,192700186
1455,192700201
1456,192700207
1457,193300010
1458,193300017
1459,201500504
1460,201500509
1461,203100172
1462,203100176
1463,203100185
1464,211100004
1465,211100021
1466,211600013
1467,211600036
1468,212000120
1469,212000123
1470,212000132
1471,212000134
1472,212000164
1473,212000172
1474,212000178
1475,212000182
1476,212400016
1477,221600029
1478,222700015
1479,223100057
1480,244606051
1481,244607070
1482,254611006
1483,254611058
1484,254611062
1485,254611063
1486,254611075
1487,254619071
1488,260700015
1489,263400007
1490,263900034
1491,264300022
1492,270400022
1493,270400023
1494,272400004
1495,272400016
1496,272700034
1497,273100134
1498,273100135
1499,273100137
1500,273100138
1501,273100153
1502,273100170
1503,273100205
1504,282200048
1505,282400023
1506,283500052
1507,283500055
1508,283500090
1509,283500091
1510,283500092
1511,291100011
1512,291900008
1513,292900003
1514,293000025
1515,293300037
1516,293400060
1517,293400089
1518,293400120
1519,293400122
1520,293400137
1521,293400139
1522,301100013
1523,301900005
1524,301900006
1525,301900016
1526,302200020
1527,302200027
1528,302500009
1529,303000095
1530,303000102
1531,303000115
1532,312600043
1533,312600048
1534,013300043
1535,013300070
1536,013300074
1537,013300075
1538,013300077
1539,020400080
1540,020600015
1541,020900018
1542,020900049
1543,022100010
1544,030601075
1545,030604308
1546,031300015
1547,031300021
1548,031600021
1549,032400028
1550,042600015
1551,050100011
1552,050900081
1553,061000090
1554,062000022
1555,080300016
1556,080300017
1557,080300033
1558,081200034
1559,081500006
1560,081500039
1561,081700029
1562,082000008
1563,082700021
1564,082800077
1565,082800124
1566,082800126
1567,082800128
1568,090200032
1569,090200037
1570,091400017
1571,091500016
1572,091500061
1573,091500068
1574,091600096
1575,092100015
1576,092100054
1577,093500016
1578,111900010
1579,121200002
1580,122400032
1581,122400034
1582,122900064
1583,130800049
1584,131900061
1585,131900156
1586,131900162
1587,131900196
1588,131900201
1589,132900001
1590,141900007
1591,143200051
1592,152100003
1593,152400205
1594,152400216
1595,152400222
1596,162201080
1597,162202023
1598,162202025
1599,162202035
1600,162202036
1601,162202037
1602,162202039
1603,162202042
1604,162202052
1605,162204016
1606,170100058
1607,170100059
1608,170100086
1609,170100089
1610,171300068
1611,174200010
1612,181600026
1613,182600029
1614,182900006
1615,190400013
1616,192700052
1617,200700317
1618,203100171
1619,203100181
1620,211100018
1621,211600010
1622,211600011
1623,212000115
1624,212000118
1625,212000119
1626,212000138
1627,212000174
1628,212000177
1629,244607072
1630,244607077
1631,254611066
1632,254619072
1633,263900032
1634,263900036
1635,272200007
1636,273100186
1637,273100192
1638,273100201
1639,273600026
1640,282400022
1641,282400039
1642,283500059
1643,283500070
1644,292900012
1645,293300006
1646,293300007
1647,293300008
1648,293300045
1649,293400065
1650,293400068
1651,293400125
1652,293400127
1653,293400136
1654,293400138
1655,302100005
1656,303000037
1657,303000052
1658,303000104
1659,303000105
1660,303000109
1661,312200008
1662,013300048
1663,021500018
1664,030100006
1665,030601076
1666,040400096
1667,062000023
1668,090200035
1669,111900017
1670,121100019
1671,131900043
1672,131900077
1673,131900083
1674,131900086
1675,131900174
1676,132900028
1677,152400204
1678,162201084
1679,162202024
1680,162202031
1681,162202033
1682,162202040
1683,162202047
1684,162202048
1685,162202049
1686,162204045
1687,172500018
1688,173900004
1689,182600006
1690,182600067
1691,211600014
1692,212000113
1693,223100062
1694,244607071
1695,244607073
1696,244607076
1697,254611064
1698,254611065
1699,271200037
1700,271200038
