sid,Нова Алтернатива,Демократическа Партия,НФСБ,Коалиция за България,Свобода и Достойнство,Нац.-Демократична Партия,Гражданска Листа - Модерна БГ,СДС,Либерален Алианс,Християн-Социален Съюз,Атака,ГЕРБ,РЗС,ВМРО - БНД,Демокр. Гражд. Инициатива,Християндем. партия,Средна Европейска Класа,Нац. Патриотично Обединение,Лидер,Зелените,ДСБ-БДФ,Социалдем. Партия,Другата България,Българската Левица,Кауза България,ДБГ,ДАНО,Българска Пролет,Горда България,Глас Народен,БЗНС,ДПС,Нац. Движение Единство,Партия на Бълг. Жени,Единна Народна Партия,Съюз на Комунистите,независими,npn,invalid,station_type,municipality,municipality_name,country_name,station,region_name,place,ekatte,address,eligible_voters
010300015,5,0.0,6,83,5,3,1,1,0,0.0,28,126,28,15,0.0,0.0,1.0,0.0,8,1.0,20,1.0,1.0,1,0,6,0,1.0,4,11,1.0,2,0.0,1.0,2,0.0,0.0,0.0,5.0,,03,Благоевград,България,015,БЛАГОЕВГРАД,гр.Благоевград,4279,-,732
010300016,1,0.0,8,95,9,0,1,5,0,0.0,23,111,17,7,1.0,0.0,0.0,0.0,1,2.0,37,0.0,1.0,0,0,9,0,1.0,1,9,0.0,0,1.0,1.0,0,0.0,0.0,0.0,1.0,,03,Благоевград,България,016,БЛАГОЕВГРАД,гр.Благоевград,4279,-,550
010300017,1,0.0,3,68,3,1,0,7,0,0.0,28,106,16,12,1.0,0.0,1.0,0.0,1,4.0,9,1.0,0.0,0,0,16,0,0.0,3,7,1.0,4,0.0,0.0,2,0.0,0.0,0.0,9.0,,03,Благоевград,България,017,БЛАГОЕВГРАД,гр.Благоевград,4279,-,544
010300018,0,0.0,6,101,0,0,5,4,0,0.0,29,149,8,7,1.0,3.0,1.0,0.0,0,1.0,14,0.0,0.0,0,0,13,0,3.0,4,8,0.0,3,0.0,2.0,3,0.0,0.0,0.0,11.0,,03,Благоевград,България,018,БЛАГОЕВГРАД,гр.Благоевград,4279,-,680
010300019,2,0.0,6,110,1,1,0,7,2,0.0,38,158,21,6,1.0,0.0,0.0,0.0,2,5.0,23,0.0,0.0,1,0,15,0,2.0,18,16,2.0,0,0.0,0.0,0,0.0,0.0,0.0,8.0,,03,Благоевград,България,019,БЛАГОЕВГРАД,гр.Благоевград,4279,-,1035
010300020,2,0.0,11,104,0,0,0,2,0,0.0,36,143,20,9,2.0,1.0,0.0,0.0,4,2.0,17,0.0,0.0,0,1,26,0,4.0,8,9,1.0,5,0.0,0.0,5,0.0,0.0,0.0,9.0,,03,Благоевград,България,020,БЛАГОЕВГРАД,гр.Благоевград,4279,-,682
010300021,1,0.0,9,108,3,0,5,7,0,0.0,36,141,16,12,0.0,0.0,0.0,1.0,3,2.0,20,0.0,1.0,0,0,3,0,0.0,4,6,0.0,2,0.0,0.0,6,0.0,0.0,0.0,12.0,,03,Благоевград,България,021,БЛАГОЕВГРАД,гр.Благоевград,4279,-,793
010300022,1,0.0,7,100,4,3,3,3,0,0.0,46,154,20,10,6.0,0.0,0.0,0.0,3,1.0,12,0.0,1.0,0,0,8,0,0.0,9,7,0.0,5,1.0,0.0,2,0.0,0.0,0.0,9.0,,03,Благоевград,България,022,БЛАГОЕВГРАД,гр.Благоевград,4279,-,765
010300023,0,0.0,7,48,1,0,2,2,0,0.0,20,86,7,6,0.0,0.0,5.0,0.0,0,1.0,0,0.0,0.0,0,1,2,0,0.0,2,15,0.0,1,0.0,0.0,1,0.0,0.0,0.0,7.0,,03,Благоевград,България,023,БЛАГОЕВГРАД,гр.Благоевград,4279,-,344
010300024,0,0.0,5,47,4,1,0,6,0,0.0,21,127,9,6,0.0,0.0,4.0,1.0,1,3.0,26,1.0,0.0,0,0,13,0,0.0,1,9,0.0,4,0.0,0.0,1,0.0,0.0,0.0,5.0,,03,Благоевград,България,024,БЛАГОЕВГРАД,гр.Благоевград,4279,-,537
