sid,yes,no,invalid,region,municipality,municipality_name,admin_reg,station,region_name,place,ekatte,address,eligible_voters
011300013,54,37,0,01,13,Гърмен,00,013,БЛАГОЕВГРАД,с.Огняново,53326.0,-,677
011300014,57,36,1,01,13,Гърмен,00,014,БЛАГОЕВГРАД,с.Огняново,53326.0,-,718
011300015,49,33,1,01,13,Гърмен,00,015,БЛАГОЕВГРАД,с.Ореше,53727.0,-,242
011300016,102,25,0,01,13,Гърмен,00,016,БЛАГОЕВГРАД,с.Осиково,54184.0,-,465
011300017,179,15,5,01,13,Гърмен,00,017,БЛАГОЕВГРАД,с.Рибново,62640.0,-,867
011300018,112,23,3,01,13,Гърмен,00,018,БЛАГОЕВГРАД,с.Рибново,62640.0,-,725
011300019,100,13,0,01,13,Гърмен,00,019,БЛАГОЕВГРАД,с.Рибново,62640.0,-,643
011300020,88,30,0,01,13,Гърмен,00,020,БЛАГОЕВГРАД,с.Скребатно,66874.0,-,247
011300021,40,48,0,01,13,Гърмен,00,021,БЛАГОЕВГРАД,с.Хвостяне,77222.0,-,1007
012800001,98,79,5,01,28,Кресна,00,001,БЛАГОЕВГРАД,гр.Кресна,14492.0,-,648
012800002,94,35,3,01,28,Кресна,00,002,БЛАГОЕВГРАД,гр.Кресна,14492.0,-,654
012800003,111,63,3,01,28,Кресна,00,003,БЛАГОЕВГРАД,гр.Кресна,14492.0,-,509
012800004,124,64,3,01,28,Кресна,00,004,БЛАГОЕВГРАД,гр.Кресна,14492.0,-,578
012800005,117,65,4,01,28,Кресна,00,005,БЛАГОЕВГРАД,гр.Кресна,14492.0,-,800
012800006,107,55,1,01,28,Кресна,00,006,БЛАГОЕВГРАД,с.Горна Брезница,16136.0,-,523
012800007,117,61,3,01,28,Кресна,00,007,БЛАГОЕВГРАД,с.Долна Градешница,22068.0,-,596
012800008,108,32,4,01,28,Кресна,00,008,БЛАГОЕВГРАД,с.Сливница,67369.0,-,512
012800009,12,16,1,01,28,Кресна,00,009,БЛАГОЕВГРАД,с.Ощава,54537.0,-,71
012800010,16,12,1,01,28,Кресна,00,010,БЛАГОЕВГРАД,с.Стара Кресна,39699.0,-,64
013300001,69,48,0,01,33,Петрич,00,001,БЛАГОЕВГРАД,гр.Петрич,56126.0,-,895
013300002,77,56,2,01,33,Петрич,00,002,БЛАГОЕВГРАД,гр.Петрич,56126.0,-,850
013300003,99,56,0,01,33,Петрич,00,003,БЛАГОЕВГРАД,гр.Петрич,56126.0,-,911
013300004,64,52,0,01,33,Петрич,00,004,БЛАГОЕВГРАД,гр.Петрич,56126.0,-,897
013300005,62,55,0,01,33,Петрич,00,005,БЛАГОЕВГРАД,гр.Петрич,56126.0,-,890
013300006,94,82,0,01,33,Петрич,00,006,БЛАГОЕВГРАД,гр.Петрич,56126.0,-,888
013300007,65,49,0,01,33,Петрич,00,007,БЛАГОЕВГРАД,гр.Петрич,56126.0,-,920
013300008,84,61,0,01,33,Петрич,00,008,БЛАГОЕВГРАД,гр.Петрич,56126.0,-,917
